Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID							
201505065519,4,sign - erect,05/06/2015,0326,023,140,,Ellis,St,,,"ground fl facade: to erect illuminated, electric, wall, single faced sign. n/a for maher ordinance 155-13.",expired,12/21/2017,05/06/2015,11/09/2015,,11/09/2015,,6,,,,11/03/2016,4000,4000,tourist hotel/motel,143,,,2,,3,constr type 3,,,,3,Tenderloin,94102,"(37.785719256680785, -122.40852313194863)",1380611233945							
201604195146,4,sign - erect,04/19/2016,0306,007,440,,Geary,St,0,,remove (e) awning and associated signs.,issued,08/03/2017,04/19/2016,08/03/2017,,08/03/2017,,7,,,,12/03/2017,1,500,tourist hotel/motel,,,,2,,3,constr type 3,,,,3,Tenderloin,94102,"(37.78733980600732, -122.41063199757738)",1420164406718							
201605278609,3,additions alterations or repairs,05/27/2016,0595,203,1647,,Pacific,Av,,,installation of separating wall,withdrawn,09/26/2017,05/27/2016,,,,,6,6,,,,20000,,retail sales,39,retail sales,39,2,,1,constr type 1,1,constr type 1,,3,Russian Hill,94109,"(37.7946573324287, -122.42232562979227)",1424856504716							
201611072166,8,otc alterations permit,11/07/2016,0156,011,1230,,Pacific,Av,0,,repair dryrot & stucco at front of bldg.,complete,07/24/2017,11/07/2016,07/18/2017,07/24/2017,07/18/2017,,2,2,,,07/13/2018,2000,2000,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79595867909168, -122.41557405519474)",1443574295566							
201611283529,6,demolitions,11/28/2016,0342,001,950,,Market,St,,,demolish retail/office/commercial 3-story building,issued,12/01/2017,11/28/2016,12/01/2017,,11/20/2017,,3,,,,12/01/2018,100000,100000,retail sales,,,,2,,3,constr type 3,,,,6,Tenderloin,94102,"(37.78315261897309, -122.40950883997789)",144548169992							
201706149344,8,otc alterations permit,06/14/2017,4105,009,800,,Indiana,St,,,evac maps,issued,07/06/2017,06/14/2017,07/06/2017,,07/06/2017,,5,5,,Y,07/01/2018,4000,4000,apartments,326,apartments,326,2,,1,constr type 1,1,constr type 1,,10,Potrero Hill,94107,"(37.75922331346539, -122.39170402628598)",1466911170855							
201706300814,8,otc alterations permit,06/30/2017,1739,020,1291,,11th,Av,0,,re-roofing,complete,07/12/2017,06/30/2017,06/30/2017,07/12/2017,06/30/2017,,3,3,,,06/25/2018,12000,12000,apartments,5,apartments,5,0,,5,wood frame (5),5,wood frame (5),,5,Inner Sunset,94122,"(37.764145640138565, -122.46875112470363)",1468970403692							
M803667,8,otc alterations permit,06/30/2017,4789,014,1465,,Revere,Av,,,streetspace,issued,06/30/2017,06/30/2017,06/30/2017,,06/30/2017,,,,,,,,0,,,,,,,,,,,,10,Bayview Hunters Point,94124,"(37.73005099023611, -122.38784938916618)",1469035175050							
M804227,8,otc alterations permit,07/05/2017,1212,054,2094,,Fell,St,,,street space permit,issued,07/05/2017,07/05/2017,07/05/2017,,07/05/2017,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.772393498502595, -122.45231466824669)",1469198253772							
M804767,8,otc alterations permit,07/06/2017,1259,016,89,,Alpine,Tr,,,street space,issued,07/06/2017,07/06/2017,07/06/2017,,07/06/2017,,,,,,,,0,,,,,,,,,,,,8,Haight Ashbury,94117,"(37.7691724293766, -122.43734859051908)",146932394171							
M805287,8,otc alterations permit,07/06/2017,3541,001,106,,Sanchez,St,,,street space,issued,07/06/2017,07/06/2017,07/06/2017,,07/06/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.767349757757145, -122.43140682973024)",1469445246849							
M805907,8,otc alterations permit,07/07/2017,0829,021,675,,Fell,St,,,street space,issued,07/07/2017,07/07/2017,07/07/2017,,07/07/2017,,,,,,,,1,,,,,,,,,,,,5,Hayes Valley,94102,"(37.774914087334544, -122.42886839796792)",146961582526							
M806447,8,otc alterations permit,07/10/2017,6537,023,4082,,25th,St,,,street space,issued,07/10/2017,07/10/2017,07/10/2017,,07/10/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75006779619502, -122.43127350268124)",1469781206718							
201707252846,8,otc alterations permit,07/25/2017,6589,002R,681,,27th,St,,,remove and replace landscape wall,filed,07/25/2017,07/25/2017,,,,,2,2,,,,30000,0,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,8,Noe Valley,94131,"(37.7462205625642, -122.4353484860549)",1471799208305							
M813729,8,otc alterations permit,07/26/2017,1049,027,2761,,Pine,St,,,street space,issued,07/26/2017,07/26/2017,07/26/2017,,07/26/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78676200041077, -122.44124093333335)",147203988249							
M813907,8,otc alterations permit,07/27/2017,0243,043,840,,Powell,St,301,,street space,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1,,,,,,,,,,,,3,Chinatown,94108,"(37.7926690651263, -122.40883941791454)",147208763456							
M813967,8,otc alterations permit,07/27/2017,0268,008,220,,Montgomery,St,,,street space permit,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1,,,,,,,,,,,,3,Financial District/South Beach,94104,"(37.79130641988351, -122.40198579459195)",147211866168							
M814148,8,otc alterations permit,07/27/2017,3621,097,3707,,21st,St,0,,street space & sidewalk repair,issued,07/27/2017,07/27/2017,07/27/2017,,07/27/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.75607840165479, -122.43041143390109)",1472184412108							
201707283165,8,otc alterations permit,07/28/2017,0472,042,1307,,Bay,St,1,,soft story ordinance sf building code chptr 34b and fema p807,filed,07/28/2017,07/28/2017,,,,,4,4,,,,75000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,2,Marina,94123,"(37.8035183252307, -122.42863180996076)",1472277302360							
M814368,8,otc alterations permit,07/28/2017,2659,001,263,,Corbett,Av,0,,street space,issued,07/28/2017,07/28/2017,07/28/2017,,07/28/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.761092365437214, -122.44402154957145)",1472295408612							
M814967,8,otc alterations permit,07/31/2017,1176,068,1624,,Fulton,St,,,street space,issued,07/31/2017,07/31/2017,07/31/2017,,07/31/2017,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.77640228859421, -122.44361679686382)",1472619503582							
201708013476,8,otc alterations permit,08/01/2017,6529,010,3410,,26th,St,,,repair fire damage to comply with nov #201551241.,filed,08/01/2017,08/01/2017,,,,,2,2,,,,100000,0,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,9,Mission,94110,"(37.74914175355125, -122.41849211166853)",1472727381751							
201708013544,3,additions alterations or repairs,08/01/2017,0074,043,2150,,Taylor,St,,,"soft story retrofit per sfebc chapter 4d, asce 41-06.",filed,08/01/2017,08/01/2017,,,,,3,3,,,,100000,,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,3,Russian Hill,94133,"(37.802405951667645, -122.41446286561653)",147281357792							
M816927,8,otc alterations permit,08/07/2017,0941,012,2824,,Filbert,St,,,street space,issued,08/07/2017,08/07/2017,08/07/2017,,08/07/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79697456740493, -122.44615769723546)",147359384812							
201708084249,8,otc alterations permit,08/08/2017,0542,039,1,,Charlton,Ct,,,re-roofing,issued,08/08/2017,08/08/2017,08/08/2017,,08/08/2017,,4,4,,,08/08/2018,64650,64650,apartments,9,apartments,9,0,,5,wood frame (5),5,wood frame (5),,2,Marina,94123,"(37.79739093461306, -122.43127133823367)",1473796372030							
201708165014,8,otc alterations permit,08/16/2017,1824,006,1435,,29th,Av,,,re-roofing,issued,08/16/2017,08/16/2017,08/16/2017,,08/16/2017,,2,2,,,02/16/2018,7000,7000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,4,Sunset/Parkside,94122,"(37.76052279949518, -122.4879889739165)",1474841115935							
M820728,8,otc alterations permit,08/18/2017,1449,006,331,,17th,Av,,,street space,issued,08/18/2017,08/18/2017,08/18/2017,,08/18/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.78177022745135, -122.47658979438802)",1475223100163							
M821207,8,otc alterations permit,08/21/2017,1193,024,120,,Shrader,St,,,street space & sidewalk repair,issued,08/21/2017,08/21/2017,08/21/2017,,08/21/2017,,,,,,,,1,,,,,,,,,,,,5,Lone Mountain/USF,94117,"(37.77371007080848, -122.45243180846707)",147537591942							
M821268,8,otc alterations permit,08/21/2017,1851,012,1512,,06th,Av,,,street space,issued,08/21/2017,08/21/2017,08/21/2017,,08/21/2017,,,,,,,,1,,,,,,,,,,,,7,Inner Sunset,94122,"(37.760252335082875, -122.4625393396095)",1475405117215							
M821847,8,otc alterations permit,08/22/2017,0326,001,165,,Powell,St,,,street space,issued,08/22/2017,08/22/2017,08/22/2017,,08/22/2017,,,,,,,,1,,,,,,,,,,,,3,Tenderloin,94102,"(37.78625524960107, -122.40834431815433)",1475605447747							
M822307,8,otc alterations permit,08/23/2017,0182,004,1441,,Taylor,St,0,,street space,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94133,"(37.79566333315149, -122.41363462406336)",1475757406474							
M822487,8,otc alterations permit,08/23/2017,3580,017,3830,,18th,St,0,,street space permit,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,1,,,,,,,,,,,,8,Castro/Upper Market,94114,"(37.761512899115466, -122.42911964946909)",1475795422554							
M822707,8,otc alterations permit,08/23/2017,3610,041,563,,Capp,St,,,street space,issued,08/23/2017,08/23/2017,08/23/2017,,08/23/2017,,,,,,,,0,,,,,,,,,,,,9,Mission,94110,"(37.75771026684177, -122.4175528755785)",1475838161926							
201708245836,3,additions alterations or repairs,08/24/2017,3749,047,76,,Lansing,St,,,"mandatory soft-story compliance per sfebc ch.4d, criteria fema p807 & asce 41-13.",approved,12/14/2017,08/24/2017,,,,,3,3,,,,73000,73000,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,6,Financial District/South Beach,94105,"(37.78595425737664, -122.39444130117158)",1476032285416							
M823847,8,otc alterations permit,08/25/2017,3545,018A,1810,,15th,St,,,street space,issued,08/25/2017,08/25/2017,08/25/2017,,08/25/2017,,,,,,,,1,,,,,,,,,,,,8,Mission,94103,"(37.766508011617525, -122.42470825254468)",1476234157693							
M824007,8,otc alterations permit,08/25/2017,0749,006A,1445,,Eddy,St,,,street space,issued,08/25/2017,08/25/2017,08/25/2017,,08/25/2017,,,,,,,,1,,,,,,,,,,,,5,Western Addition,94115,"(37.7813061748427, -122.43142154292566)",147627380882							
M824127,8,otc alterations permit,08/28/2017,6551,023,1383,,Church,St,,,street space,issued,08/28/2017,08/28/2017,08/28/2017,,08/28/2017,,,,,,,,1,,,,,,,,,,,,8,Noe Valley,94114,"(37.748779856735744, -122.42683572581998)",1476358207225							
M824927,8,otc alterations permit,08/29/2017,6597,024,681,,San Jose,Av,,,street space,issued,08/29/2017,08/29/2017,08/29/2017,,08/29/2017,,,,,,,,1,,,,,,,,,,,,8,Bernal Heights,94110,"(37.74446179156465, -122.42217241874201)",1476706208668							
M825267,8,otc alterations permit,08/29/2017,1572,017,606,,30th,Av,,,street space,issued,08/29/2017,08/29/2017,08/29/2017,,08/29/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77767213358907, -122.48966493609916)",1476720105056							
M828787,8,otc alterations permit,09/07/2017,0177,022,655,,Pacific,Av,0,,street space,issued,09/07/2017,09/07/2017,09/07/2017,,09/07/2017,,,,,,,,0,,,,,,,,,,,,3,Chinatown,94133,"(37.79673343870443, -122.40610115140781)",1477872407335							
M829567,8,otc alterations permit,09/08/2017,0490,002,3325,,Steiner,St,,,street space,issued,09/08/2017,09/08/2017,09/08/2017,,09/08/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.80002156448977, -122.43806594677513)",147813971761							
M832207,8,otc alterations permit,09/15/2017,1609,021F,700,,36th,Av,,,street space,issued,09/15/2017,09/15/2017,09/15/2017,,09/15/2017,,,,,,,,1,,,,,,,,,,,,1,Outer Richmond,94121,"(37.77554028396788, -122.49601102992328)",1479528106617							
201709158571,8,otc alterations permit,09/15/2017,1429,010,249,,04th,Av,,,soft story retrofit per sfebc chapter 4d: 2016 cebc appendix a-4,filed,09/15/2017,09/15/2017,,,,,3,3,,,,18000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,1,Inner Richmond,94118,"(37.7839252036892, -122.46267353170244)",1479741242383							
M833229,8,otc alterations permit,09/19/2017,0605,028,2379,,Jackson,St,1,,street space,issued,09/19/2017,09/19/2017,09/19/2017,,09/19/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.792266300903314, -122.4340191358936)",1480161420671							
M834107,8,otc alterations permit,09/21/2017,7151,014,247,,Saint Charles,Av,0,,street space,issued,09/21/2017,09/21/2017,09/21/2017,,09/21/2017,,,,,,,,1,,,,,,,,,,,,7,Oceanview/Merced/Ingleside,94132,"(37.70944796125683, -122.4690186732598)",1480578483312							
M836287,8,otc alterations permit,09/27/2017,0540,002,2843,,Webster,St,,,street space,issued,09/27/2017,09/27/2017,09/27/2017,,09/27/2017,,,,,,,,1,,,,,,,,,,,,2,Marina,94123,"(37.79686934709798, -122.43412132328224)",1481221235128							
M836847,8,otc alterations permit,09/28/2017,0959,029,2615,,Divisadero,St,,,street space,issued,09/28/2017,09/28/2017,09/28/2017,,09/28/2017,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94123,"(37.79391508281414, -122.44195481827035)",1481434475430							
M839427,8,otc alterations permit,10/04/2017,6780,034,252,,Cotter,St,,,street space,issued,10/04/2017,10/04/2017,10/04/2017,,10/04/2017,,,,,,,,1,,,,,,,,,,,,11,Outer Mission,94112,"(37.729885737657085, -122.43669590253097)",1482203213002							
